"date","rice_price","yields","fertilizer_cost","rainfall","population_growth","premium_rice_demand"
2023-10-01,81.7348153492556,38.1787383910654,50.01,77.4173894511771,1.61781712871344,-8.15527525075213
2023-10-02,88.10969944382,35.7741900818708,50.02,70.0747145296799,1.07552499160081,28.7423047835937
2023-10-03,80.0692903318791,45.9626319859433,50.03,71.8177019068279,1.767367834631,25.56437417993
2023-10-04,87.0860696917061,32.117174764109,50.04,66.4598241973746,1.14968895027582,6.00085974061853
2023-10-05,91.2359676760797,34.5106910783088,50.05,71.1221061695811,1.09210623889178,29.1692040159861
2023-10-06,85.1441414595493,46.0521802901301,50.06,65.7186389149395,1.3272684643155,26.3459469304372
2023-10-07,87.0681084248427,39.4031833915269,50.07,79.2575381689907,1.590397623826,40.6370666433094
2023-10-08,89.4205742908842,50.4025506019389,50.08,74.9598971114178,1.08166637199606,24.2552642366228
2023-10-09,86.2475734276434,41.0687429011785,50.09,75.3341019428687,1.06644327221942,-0.550902283960852
2023-10-10,86.8494196154575,40.9951102958407,50.1,67.0326186327931,1.53085154489822,24.036743081234
2023-10-11,86.8525356304153,28.2292024615376,50.11,71.3035218263836,1.29055189614454,19.5108638775169
2023-10-12,86.4001544173773,54.6777101170194,50.12,72.3758314518291,1.85681343338308,-4.18640139025239
2023-10-13,87.8063291213847,35.9138246295524,50.13,76.0206750468924,1.47581725238609,18.1448877613497
2023-10-14,88.1047033541478,47.5305844369344,50.14,63.6239593491704,1.55881003220138,12.6231439005962
2023-10-15,84.8689629437287,39.4145663695292,50.15,66.8084580678969,0.659086698752726,20.1862807063306
2023-10-16,94.1717276049396,49.2720406216289,50.16,85.8007845413347,2.34487960327602,31.6842243559876
2023-10-17,87.467373915907,27.7511049149273,50.17,73.1162079241807,0.575296202056776,17.3696133000309
2023-10-18,81.8675480113362,37.8086269262839,50.18,70.4686718558474,1.4242929455276,24.538046371252
2023-10-19,87.1921003156907,35.4635576993828,50.19,74.0099028336046,1.94765157989875,29.0754621146587
2023-10-20,95.5797724504046,36.6218166149464,50.2,62.5415833380573,1.30506160235142,16.3157198599954
2023-10-21,82.6370390897478,34.6945138789413,50.21,68.1602013191624,1.87488257085427,22.9204503641545
2023-10-22,83.2279533390053,39.5479024026635,50.22,77.2057863421291,0.957587382097166,25.3892372912905
2023-10-23,94.3507071759126,38.1663069390846,50.23,67.6003883747731,1.59789861684081,15.0195514950329
2023-10-24,92.7760560206543,36.526451608119,50.24,77.6023597918093,1.74965354075561,14.6613270969456
2023-10-25,95.9407222261269,44.8711592485683,50.25,72.3605899176218,1.34843612172495,32.9766673189383
2023-10-26,92.8220617052474,33.4056248453281,50.26,70.0214777436501,0.706080486073418,16.9567203652115
2023-10-27,95.2920654967709,42.7612760725647,50.27,74.2039756135598,1.01323741151681,-1.86893072427583
2023-10-28,91.1417530454412,36.2439082950373,50.28,82.2643482864346,1.71202746482428,10.0731736792083
2023-10-29,87.4583889578595,48.1782387973177,50.29,79.2786788262729,1.98919349401146,24.4084704068202
2023-10-30,83.4086157018005,63.3385385523379,50.3,72.9183567862052,0.832274039281384,22.0746970462088
2023-10-31,89.2093021945518,41.2445592382234,50.31,74.4973213533804,1.38541742378744,15.8604227075816
2023-11-01,87.190565247273,34.7434055666199,50.32,80.7521785393128,1.75978497215447,28.4085979003149
2023-11-02,74.7678029383103,44.4888359127191,50.33,78.3273798204745,1.21870211867249,20.3681660510341
2023-11-03,85.500023228983,53.3191846610046,50.34,78.0895119282962,2.00951146276604,15.9744309705886
2023-11-04,83.5528838201719,41.1282748709842,50.35,82.2051309622719,1.24080492993872,26.595010170183
2023-11-05,93.7914596764912,49.2679104413788,50.36,76.6512693255074,1.408318268707,27.9882026289706
2023-11-06,94.6212096369671,44.2529840163772,50.37,80.995933382015,1.05212478919899,8.75641044374412
2023-11-07,92.5086193171815,41.0912030240988,50.38,80.2384208008637,2.57271561089773,27.7731528467621
2023-11-08,89.090348662878,45.8201092618476,50.39,81.8228204096158,1.07150319510116,28.485329269031
2023-11-09,90.3788815748869,28.6685101286841,50.4,79.3596509975605,1.26390141339088,24.6742704755471
2023-11-10,85.8391798442631,37.1018153733698,50.41,78.0569394629509,1.45745419453725,18.7073480854865
2023-11-11,98.5265534613847,41.6813857084686,50.42,76.1132863413526,-0.0644017737299791,1.39974830826331
2023-11-12,91.1265212470754,41.1938187090038,50.43,88.7759555404094,1.86720707116461,45.9704856807814
2023-11-13,93.2518178219642,54.7884036983177,50.44,81.0401984820216,0.764574007929224,16.0051949689776
2023-11-14,88.0389894171314,40.8258089139175,50.45,85.5291386750374,0.608887264196046,25.2527691005332
2023-11-15,91.5982173038685,38.0490065484208,50.46,79.9058799675796,1.9593436849779,32.8590882068982
2023-11-16,95.9687627295184,35.9762794555633,50.47,83.081379208253,0.706437648215225,25.8703638815184
2023-11-17,89.5391444554673,45.0152763789736,50.48,86.6962366524192,1.45050329135558,3.47779046015775
2023-11-18,93.838981938339,31.8773289652224,50.49,82.8967401852902,0.804369302619923,20.0761145540389
2023-11-19,95.5829073380631,37.318007127461,50.5,86.1493858633795,1.07964617253466,15.3339468463531
2023-11-20,87.3362173355003,47.0233747962132,50.51,87.9617433973201,0.268846078676608,21.9240144113661
2023-11-21,95.4487628918922,39.3626684308713,50.52,80.5444369566796,1.23181641933225,28.9543671008283
2023-11-22,93.8460194397272,36.5614747546942,50.53,85.8371530547553,2.14258403047093,16.7460866729988
2023-11-23,93.9491389864627,47.3191084208366,50.54,90.7246934152106,1.46496675231708,21.1670130833079
